Timestamp,Type,Amount,Exchange Buy,Price Buy,Exchange Sell,Price Sell,Profit
1594668811890,XRP,1485.22,Coinbase,0.1938,Binance,0.1984,6.6462
1594668811891,ETC,1093.279378,Coinbase,6.217,Binance,6.3261,114.8981
1594668811891,XLM,1360.8,Coinbase,0.08841,Binance,0.08928,1.1066
1594668811891,LINK,96,Coinbase,6.94761,Binance,7.0251,7.0104
1594668814802,EOS,722.771,Coinbase,2.468,Binance,2.5769,77.5492
1594668817407,ETH,19.8848,Coinbase,237.52,Binance,238.14,9.3029
1594668823147,DASH,4.2,Coinbase,71.034,Binance,72.06,4.1172
1594668823149,LINK,34.986,Coinbase,6.93219,Binance,7.027,3.161
1594668823149,ETC,17.5,Coinbase,6.181,Binance,6.3276,2.4957
1594668823148,XLM,4800,Coinbase,0.088191,Binance,0.08895,3.3714
1594668823148,XRP,24448.055871,Coinbase,0.1925,Binance,0.19825,137.5306
1594668823148,EOS,117.116,Coinbase,2.447,Binance,2.5777,15.12
1594668830914,ETH,27.6,Coinbase,237.62,Binance,238.16,10.7031
1594668830915,XRP,3963.4,Coinbase,0.1932,Binance,0.19834,19.8769
1594668830914,XTZ,835.8432,Coinbase,2.7868,Binance,2.8149,21.9908
1594668844184,LTC,56.4,Coinbase,43.12,Binance,43.82,37.9141
1594668844185,LINK,1528.419,Coinbase,6.93459,Binance,7.0223,127.2421
1594668844185,ETH,4.9,Coinbase,237.68,Binance,238.27,2.1449
1594668844185,EOS,151.392,Coinbase,2.474,Binance,2.578,15.5013
1594668846031,XTZ,193.2,Coinbase,2.7936,Binance,2.8162,4.0198
1594668846031,XLM,3355,Coinbase,0.088303,Binance,0.08892,1.8799
1594668846031,ETC,6.5,Coinbase,6.275,Binance,6.3315,0.3411
1594668846032,BCH,0.000007,Coinbase,227.59,Binance,231.88,0
1594668846032,XRP,1639.682327,Coinbase,0.1947,Binance,0.19853,6.0742
1594668850867,LINK,1323.2065,Coinbase,6.94773,Binance,7.0251,96.4682
1594668850868,DASH,3.35,Coinbase,71.683,Binance,72.07,1.1425
1594668850868,EOS,170,Coinbase,2.524,Binance,2.5788,9.0392
1594668858310,LTC,3.69395,Coinbase,43.48,Binance,43.83,1.1898
1594668858311,ETC,5.231951,Coinbase,6.298,Binance,6.333,0.162
1594668858311,XRP,1676.204295,Coinbase,0.1961,Binance,0.19858,3.9456
1594668858311,XTZ,140.3,Coinbase,2.8022,Binance,2.8177,1.9225
1594668866930,XLM,3200,Coinbase,0.08804,Binance,0.0886,1.6113
1594668866931,EOS,29.568,Coinbase,2.501,Binance,2.5792,2.2643
1594668866931,LINK,68,Coinbase,6.9526,Binance,7.027,4.7554
1594668866931,DASH,13.125,Coinbase,71.371,Binance,72.09,8.8351
1594668866931,ETH,4,Coinbase,237.91,Binance,238.4,1.3505
1594668866932,ALGO,3360,Coinbase,0.2635,Binance,0.2704,22.6118
1594668941490,LINK,222,Coinbase,6.89803,Binance,6.906,0.7888
1594668944634,BTC,1.059151,Coinbase,9199.35,Binance,9205.34,0.107
1594668944634,ETH,44.254947,Coinbase,237.52,Binance,237.73,2.564
1594668946935,LINK,225,Coinbase,6.89758,Binance,6.9042,0.4959
1594668950687,ETC,25.073135,Coinbase,6.213,Binance,6.2191,0.0532
1594668950686,BTC,1.8525,Coinbase,9197.09,Binance,9203.52,1.0046
1594668950688,XTZ,184,Coinbase,2.7601,Binance,2.7636,0.3188
1594668950689,XRP,542.414342,Coinbase,0.1943,Binance,0.1948,0.2037
1594668950690,ETH,55.2,Coinbase,237.32,Binance,237.71,13.1388
1594668951432,LINK,288.1967,Coinbase,6.88387,Binance,6.8984,2.9168
1594668957207,DASH,4.35068,Coinbase,71.129,Binance,71.22,0.1978
1594668960965,LINK,87,Coinbase,6.87066,Binance,6.8915,1.4301
1594668967590,XTZ,81.697,Coinbase,2.7545,Binance,2.7574,0.0928
1594668968445,LINK,222,Coinbase,6.85983,Binance,6.8868,5.0113
1594668968446,BCH,0.193311,Binance,225.66,Coinbase,225.95,0.0281
1594668973673,ETC,0.000001,Coinbase,6.201,Binance,6.2105,0
1594668973673,ETH,4.286616,Coinbase,237.26,Binance,237.5,0.3776
1594668973706,XRP,5947.164,Binance,0.19439,Coinbase,0.1947,1.103
1594668978761,EOS,349.569,Binance,2.4903,Coinbase,2.493,0.3863
1594668978762,ETH,30.834856,Coinbase,237.33,Binance,237.56,2.4068
1594668978762,ETC,33.813208,Coinbase,6.207,Binance,6.2152,0.1429
1594668982498,LINK,217.3125,Coinbase,6.87048,Binance,6.8848,2.1556
1594668982500,BCH,3.2,Coinbase,225.61,Binance,226.1,1.1056
