Timestamp,Type,Amount,Exchange Buy,Price Buy,Exchange Sell,Price Sell,Profit
1594590460838,LINK,26.1981,Binance,7.2013,Coinbase,7.25007,1.1564
1594590462558,LINK,105.5488,Binance,7.2012,Coinbase,7.25022,4.6855
1594590464567,LINK,127.7696,Binance,7.2002,Coinbase,7.25001,5.7729
1594590466562,LINK,103.1932,Binance,7.1991,Coinbase,7.25047,4.8235
1594590472616,LINK,7.8225,Binance,7.199,Coinbase,7.25232,0.3809
1594590474593,LINK,105.432,Binance,7.1986,Coinbase,7.25283,5.2296
1594590477572,LINK,79.497,Binance,7.2,Coinbase,7.25029,3.63
1594590479583,LINK,134.7136,Binance,7.1996,Coinbase,7.25057,6.2429
1594590482777,LINK,58.2056,Binance,7.2,Coinbase,7.25087,2.6915
1594590484777,LINK,38.6724,Binance,7.2094,Coinbase,7.25124,1.439
1594590486582,LINK,166.8052,Binance,7.2199,Coinbase,7.25897,5.7437
1594590488583,LINK,90.402,Binance,7.2158,Coinbase,7.25989,3.5667
1594590490898,DASH,1.04832,Coinbase,71.673,Binance,71.73,0.0117
1594590492077,LINK,207.4536,Binance,7.2146,Coinbase,7.26466,9.4231
1594590496917,LINK,167.3112,Binance,7.2128,Coinbase,7.26523,7.9963
1594590498775,LINK,25.1472,Binance,7.1994,Coinbase,7.26466,1.5246
1594590500596,LINK,39.6305,Binance,7.202,Coinbase,7.25782,2.0286
1594590501896,DASH,0.9084,Coinbase,71.648,Binance,71.74,0.0419
1594590503098,LINK,283.0217,Binance,7.1996,Coinbase,7.25006,12.9715
1594590505589,LINK,46.656,Binance,7.2051,Coinbase,7.2501,1.8835
1594590508601,LINK,42.5796,Binance,7.2032,Coinbase,7.25228,1.8927
1594590511597,LINK,33.2096,Binance,7.1973,Coinbase,7.25022,1.6038
1594590513537,LINK,148.1108,Binance,7.1954,Coinbase,7.25004,7.4075
1594590517597,LINK,695.7132,Binance,7.1951,Coinbase,7.25,34.9757
1594590519598,LINK,69.335,Binance,7.1861,Coinbase,7.25017,4.1216
1594590520696,BTC,0.037502,Binance,9257.76,Coinbase,9264,0.0117
1594590521915,LINK,45.0225,Binance,7.1849,Coinbase,7.24003,2.2741
1594590523130,LINK,230.5625,Binance,7.187,Coinbase,7.24008,11.1728
1594590525739,LINK,297.99,Binance,7.1921,Coinbase,7.25026,15.9525
1594590527619,LINK,8.4477,Binance,7.1936,Coinbase,7.25034,0.4402
1594590530608,LINK,210,Binance,7.1932,Coinbase,7.25032,11.0236
1594590532654,LINK,260.9889,Binance,7.1859,Coinbase,7.24029,12.9892
1594590534606,LINK,195,Binance,7.1887,Coinbase,7.24003,9.1082
1594590538609,LINK,18.1735,Binance,7.1924,Coinbase,7.24011,0.7831
1594590540604,LINK,251.1144,Binance,7.1946,Coinbase,7.24018,10.2849
1594590542619,LINK,115.5375,Binance,7.1941,Coinbase,7.24017,4.7887
1594590544616,LINK,15.6333,Binance,7.1926,Coinbase,7.24327,0.7199
1594590550642,LINK,5.677,Binance,7.1923,Coinbase,7.24328,0.2632
1594590555607,LINK,23.1,Binance,7.1947,Coinbase,7.24426,1.038
1594590557609,LINK,101.3514,Binance,7.1925,Coinbase,7.24469,4.8209
1594590559790,LINK,39.8244,Binance,7.1975,Coinbase,7.24399,1.6672
1594590560961,XLM,997.34,Coinbase,0.09161,Binance,0.09169,0.0213
1594590562435,LINK,69.92,Binance,7.1996,Coinbase,7.24456,2.8202
1594590564628,LINK,104.4792,Binance,7.1975,Coinbase,7.24484,4.4628
1594590566618,LINK,20.202,Binance,7.1973,Coinbase,7.24539,0.8781
1594590568624,LINK,273.2883,Binance,7.1965,Coinbase,7.24491,11.9659
1594590571619,LINK,286.8,Binance,7.1925,Coinbase,7.24329,13.2405
1594590575905,LINK,102.0982,Binance,7.1908,Coinbase,7.24021,4.5728
1594590577653,LINK,75.8898,Binance,7.191,Coinbase,7.24017,3.3807
1594590579644,LINK,34.9349,Binance,7.1906,Coinbase,7.23473,1.3803
1594590581657,XLM,4270,Coinbase,0.091622,Binance,0.09172,0.168
1594590583045,LINK,72.7353,Binance,7.19,Coinbase,7.2121,1.2721
1594590585632,LINK,131.0848,Binance,7.1868,Coinbase,7.21337,2.8786
1594590587630,LINK,146.2847,Binance,7.1691,Coinbase,7.2,3.8472
1594590589827,LINK,201,Binance,7.1512,Coinbase,7.16568,1.9894
1594590591659,LINK,26.1354,Binance,7.1492,Coinbase,7.16571,0.3117
1594590595654,LINK,89.488,Binance,7.153,Coinbase,7.16549,0.7076
1594590597644,LINK,284.102,Binance,7.1544,Coinbase,7.1655,1.8514
1594590599850,LINK,162.781,Binance,7.1594,Coinbase,7.16554,0.2532
