Timestamp,Type,Amount,Exchange Buy,Price Buy,Exchange Sell,Price Sell,Profit
1594684234721,ETH,14.630848,Coinbase,239.58,Binance,239.78,0.6821
1594684237792,BCH,22.753562,Coinbase,231.93,Binance,232.13,1.1722
1594684245110,BCH,0.595245,Coinbase,231.92,Binance,232.15,0.0485
1594684252666,ETH,4.9438,Coinbase,239.57,Binance,239.79,0.3294
1594684255826,ALGO,275.84,Coinbase,0.2659,Binance,0.2664,0.0909
1594684258705,ETH,12.681067,Coinbase,239.58,Binance,239.79,0.718
1594684277121,BCH,28.712624,Coinbase,231.94,Binance,232.17,2.3402
1594684303704,ETH,4.032514,Coinbase,239.63,Binance,239.84,0.2282
1594684308634,BTC,6.106381,Coinbase,9242.56,Binance,9248.62,0.8751
1594684311509,ETH,15.228056,Coinbase,239.67,Binance,239.86,0.5568
1594684331785,ETH,31.966731,Coinbase,239.72,Binance,239.88,0.2091
1594684340635,BTC,0.599804,Coinbase,9241.85,Binance,9248.02,0.1522
1594684343785,XRP,4388.148259,Coinbase,0.1987,Binance,0.19891,0.3633
1594684347792,ETH,26.901982,Coinbase,239.71,Binance,239.87,0.1761
1594684369814,ETH,0.85,Coinbase,239.84,Binance,240.03,0.031
1594684372626,BTC,0.247053,Coinbase,9242,Binance,9248.63,0.1763
1594684379640,BTC,0.00156,Coinbase,9242.56,Binance,9248.7,0.0003
1594684384143,BCH,21.707437,Coinbase,232.12,Binance,232.31,0.8986
1594684387025,BCH,2.387101,Coinbase,232.17,Binance,232.38,0.1465
1594684391153,BCH,0.63,Coinbase,232.11,Binance,232.34,0.0513
1594684394214,BCH,1.813771,Coinbase,232.04,Binance,232.27,0.1477
1594684397083,BCH,3.3,Coinbase,232.07,Binance,232.27,0.1697
1594684423239,BCH,3.15,Coinbase,232.11,Binance,232.39,0.4139
1594684428786,LTC,40.8,Coinbase,43.96,Binance,44,0.4837
1594684432229,BCH,4.3,Coinbase,232.12,Binance,232.37,0.4359
1594684445263,BCH,3.557922,Coinbase,232.08,Binance,232.34,0.3964
1594684462250,BCH,4.246662,Coinbase,232.1,Binance,232.35,0.4306
1594684465218,LTC,7.3,Coinbase,43.95,Binance,43.98,0.0136
1594684475268,BCH,32.010656,Coinbase,232.06,Binance,232.28,2.2865
1594684493472,LTC,64.754484,Coinbase,43.93,Binance,43.96,0.1216
1594684530432,BCH,12.96,Coinbase,231.88,Binance,232.1,0.9272
1594684533287,LTC,217.35,Coinbase,43.87,Binance,43.91,2.5894
1594684534208,BCH,2.107536,Coinbase,231.87,Binance,232.11,0.1929
1594684538892,BCH,12.6,Coinbase,231.92,Binance,232.13,0.7752
1594684544914,XTZ,1286.58,Coinbase,2.8865,Binance,2.8887,0.453
1594684556340,BCH,18.579704,Coinbase,231.96,Binance,232.15,0.7711
1594684559218,BTC,0.78,Coinbase,9238.21,Binance,9244.34,0.1685
1594684562342,BCH,2.114557,Coinbase,231.94,Binance,232.12,0.0666
1594684582420,BCH,11.34,Coinbase,231.96,Binance,232.13,0.2439
1594684588442,BCH,1.368745,Coinbase,231.95,Binance,232.13,0.0431
1594684593432,BCH,19.679373,Coinbase,231.94,Binance,232.14,1.0137
1594684597434,BCH,2.002996,Coinbase,231.95,Binance,232.13,0.0631
1594684600481,BCH,14.4,Coinbase,231.96,Binance,232.12,0.1657
1594684613449,BCH,1.428279,Coinbase,232.07,Binance,232.25,0.0449
1594684627983,LINK,68,Coinbase,7.1698,Binance,7.1771,0.1843
1594684630824,BCH,0.97,Coinbase,231.99,Binance,232.28,0.1372
1594684630823,BTC,0.62,Coinbase,9241.13,Binance,9247.84,0.4923
1594684636530,BTC,0.729801,Coinbase,9241.23,Binance,9247.62,0.346
1594684639965,ETH,37.8,Coinbase,239.78,Binance,239.94,0.2458
1594684643770,BTC,1.411468,Coinbase,9240.46,Binance,9247.46,1.5306
1594684645632,ETH,3.031262,Coinbase,239.76,Binance,239.93,0.0501
1594684649416,ETH,3.002403,Coinbase,239.77,Binance,239.94,0.0496
1594684657784,BCH,3.083623,Coinbase,232.01,Binance,232.25,0.282
1594684660723,BCH,0.83,Coinbase,232.05,Binance,232.23,0.0261
1594684661769,LTC,50.693751,Coinbase,43.94,Binance,43.97,0.0949
1594684673521,LTC,65.401026,Coinbase,43.92,Binance,43.95,0.1232
1594684676392,ATOM,90,Coinbase,3.872,Binance,3.876,0.1369
1594684676430,LTC,45.5,Coinbase,43.91,Binance,43.94,0.086
1594684676410,BTC,6.100724,Coinbase,9236.18,Binance,9243.04,5.7786
1594684684879,BTC,1.86,Coinbase,9234.62,Binance,9242.78,4.1811
1594684685870,ETH,1.042763,Coinbase,239.49,Binance,239.74,0.1008
1594684691611,LTC,46.12149,Coinbase,43.92,Binance,43.95,0.0869
1594684694492,ETH,20.4,Coinbase,239.64,Binance,239.81,0.3384
1594684698512,BCH,24.375,Coinbase,232,Binance,232.18,0.7672
1594684701393,ETH,20.187809,Coinbase,239.59,Binance,239.76,0.3356
1594684702397,BTC,2.964498,Coinbase,9238.15,Binance,9245.03,2.8635
1594684707057,ETH,28.2,Coinbase,239.57,Binance,239.76,1.033
1594684707057,BTC,0.012037,Coinbase,9238.16,Binance,9244.78,0.0085
1594684714798,BTC,4.706152,Coinbase,9238.15,Binance,9245.1,4.8752
1594684717706,BCH,2.276178,Coinbase,231.92,Binance,232.13,0.14
1594684717713,BTC,0.841828,Coinbase,9234.4,Binance,9243.01,2.2712
1594684718662,ETH,3.155613,Coinbase,239.52,Binance,239.72,0.1472
1594684726301,ETH,27.011578,Coinbase,239.52,Binance,239.71,0.9903
1594684726302,BTC,0.140478,Coinbase,9236.29,Binance,9243,0.112
1594684732061,ETH,0.63609,Coinbase,239.53,Binance,239.72,0.0233
1594684732060,BCH,13.49,Coinbase,231.93,Binance,232.08,0.0206
1594684733017,BTC,0.720081,Coinbase,9235.71,Binance,9242.99,0.9846
1594684740628,BTC,0.0162,Coinbase,9236.29,Binance,9242.91,0.0115
1594684741625,ETH,25.17744,Coinbase,239.51,Binance,239.71,1.1749
1594684745445,BTC,0.015048,Coinbase,9236.16,Binance,9242.59,0.0078
1594684748255,BTC,4.668657,Coinbase,9235.29,Binance,9242.46,5.8717
1594684751106,BCH,1.237473,Coinbase,231.94,Binance,232.14,0.0637
1594684754877,BTC,3.628649,Coinbase,9233.91,Binance,9241.69,6.7799
